galaxy,source,distance_mpc,model,n_points,k_params,chi2,dof,chi2_red,aic,bic,ups_disk,ups_bul,success,message,runtime_s,log10_r0_kpc,log10_r_s_kpc,log10_rho0_msun_kpc3,log10_rho_s_msun_kpc3
NGC2685,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC2685_rotmod.dat,16.1,nfw,2,4,0.08441817019924766,-2,,8.084418170199248,2.8570068924390286,0.4989958001931378,0.6505528634783725,True,`ftol` termination condition is satisfied.,0.0068781375885009766,,2.4999999999999996,,4.965358213178883
NGC2685,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC2685_rotmod.dat,16.1,burkert,2,4,0.0733858723027198,-2,,8.073385872302719,2.845974594542501,0.4990367733953659,0.6537829741570222,True,`ftol` termination condition is satisfied.,0.022965192794799805,2.091503859451752,,6.270882674134816,
NGC2824,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC2824_rotmod.dat,39.6,nfw,2,4,8.215674971051343e-21,-2,,8.0,2.772588722239781,0.49999999999845557,0.700000000004259,True,`gtol` termination condition is satisfied.,0.0028128623962402344,,-0.6666223550409622,,10.889660634659341
NGC2824,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC2824_rotmod.dat,39.6,burkert,2,4,0.03052686457019649,-2,,8.030526864570197,2.8031155868099775,0.49775400170167217,0.7092728685816523,True,Both `ftol` and `xtol` termination conditions are satisfied.,0.0033571720123291016,-0.7173083937912953,,10.999999999999998,
NGC2859,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC2859_rotmod.dat,26.2,nfw,2,4,1.7191782910141293e-21,-2,,8.0,2.772588722239781,0.499999999999917,0.6999999999989948,True,`gtol` termination condition is satisfied.,0.0012297630310058594,,0.505454465432463,,8.454190494851138
NGC2859,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC2859_rotmod.dat,26.2,burkert,2,4,9.911701676583627e-28,-2,,8.0,2.772588722239781,0.5,0.700000000000001,True,`gtol` termination condition is satisfied.,0.0017554759979248047,0.12011666839791146,,9.329432770075876,
NGC2974,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC2974_rotmod.dat,22.1,nfw,2,4,2.1157042618099032e-26,-2,,8.0,2.772588722239781,0.5,0.7000000000000005,True,`gtol` termination condition is satisfied.,0.0023500919342041016,,0.3216729461032945,,9.174218271364545
NGC2974,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC2974_rotmod.dat,22.1,burkert,2,4,2.2473174724242335e-20,-2,,8.0,2.772588722239781,0.4999999999997593,0.7000000000155933,True,`gtol` termination condition is satisfied.,0.0029740333557128906,0.010133989800003762,,9.884545394949185,
NGC3522,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC3522_rotmod.dat,25.2,nfw,2,4,4.385274618403482e-23,-2,,8.0,2.772588722239781,0.4999999999999891,0.700000000000342,True,`gtol` termination condition is satisfied.,0.0020160675048828125,,-0.36061672206385764,,10.051654751322276
NGC3522,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC3522_rotmod.dat,25.2,burkert,2,4,3.717654717467381e-21,-2,,8.0,2.772588722239781,0.49999999999996597,0.7000000002298435,True,`gtol` termination condition is satisfied.,0.0018281936645507812,-0.5519762127228642,,10.523014638307897,
NGC3626,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC3626_rotmod.dat,22.9,nfw,2,4,0.31508891074196793,-2,,8.315088910741968,3.087677632981749,0.4993558903719945,0.5894667152556037,True,`ftol` termination condition is satisfied.,0.005331277847290039,,2.4999999496598826,,5.135268194858496
NGC3626,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC3626_rotmod.dat,22.9,burkert,2,4,0.3007853649336298,-2,,8.30078536493363,3.073374087173411,0.4991371833141332,0.5916786664200585,True,`xtol` termination condition is satisfied.,0.013464927673339844,2.0801959475952145,,6.70047917541442,
NGC3838,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC3838_rotmod.dat,23.1,nfw,2,4,2.445262135233987e-21,-2,,8.0,2.772588722239781,0.5000000000000115,0.7000000000082176,True,`gtol` termination condition is satisfied.,0.0018618106842041016,,0.1527692154670808,,9.161959257091521
NGC3838,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC3838_rotmod.dat,23.1,burkert,2,4,1.5442555754988418e-28,-2,,8.0,2.772588722239781,0.5,0.7,True,`gtol` termination condition is satisfied.,0.002452850341796875,-0.18758896106243095,,9.995837971630001,
NGC3941,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC3941_rotmod.dat,12.4,nfw,2,4,0.22419139730303506,-2,,8.224191397303034,2.9967801195428163,0.49629830471500985,0.6173109029953714,True,`xtol` termination condition is satisfied.,0.0060749053955078125,,2.4999999999999782,,5.141173540404094
NGC3941,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC3941_rotmod.dat,12.4,burkert,2,4,0.21024378911924999,-2,,8.21024378911925,2.9828325113590313,0.4962467861563674,0.6197323396678451,True,`ftol` termination condition is satisfied.,0.015396356582641602,2.0880687600895556,,6.759576791944493,
NGC3945,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC3945_rotmod.dat,22.8,nfw,2,4,2.1881911785470566e-29,-2,,8.0,2.772588722239781,0.5,0.7000000000000001,True,`gtol` termination condition is satisfied.,0.0018801689147949219,,0.17849270930886976,,9.251763384792607
NGC3945,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC3945_rotmod.dat,22.8,burkert,2,4,1.0134033424126868e-28,-2,,8.0,2.772588722239781,0.5,0.7,True,`gtol` termination condition is satisfied.,0.0025892257690429688,-0.043965629633462074,,9.769740255051438,
NGC3998,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC3998_rotmod.dat,14.2,nfw,2,4,2.793064521192429e-25,-2,,8.0,2.772588722239781,0.49999999999999944,0.7000000000000167,True,`gtol` termination condition is satisfied.,0.002316713333129883,,-0.25984793041558246,,10.51210238314749
NGC3998,/home/ub/Downloads/sidmkit_submission_package/submission_package/sparc_data/Rotmod_ETG/NGC3998_rotmod.dat,14.2,burkert,2,4,8.129052556090385e-25,-2,,8.0,2.772588722239781,0.499999999999999,0.7000000000000527,True,`gtol` termination condition is satisfied.,0.0031299591064453125,-0.42003501488234013,,10.901344373023187,
