galaxy,source,distance_mpc,model,n_points,k_params,chi2,dof,chi2_red,aic,bic,ups_disk,ups_bul,success,message,runtime_s,log10_r0_kpc,log10_r_s_kpc,log10_rho0_msun_kpc3,log10_rho_s_msun_kpc3
NGC2903,src/sidmkit/sparc_data/Rotmod_LTG/NGC2903_rotmod.dat,6.6,nfw,34,3,184.97594829388967,31,5.966966073996441,190.97594829388967,195.55502986773814,0.2385670335568325,,True,`ftol` termination condition is satisfied.,0.0021584033966064453,,0.7066444730577804,,7.9944854747801894
NGC2903,src/sidmkit/sparc_data/Rotmod_LTG/NGC2903_rotmod.dat,6.6,burkert,34,3,209.18441852140288,31,6.747884468432351,215.18441852140288,219.76350009525135,0.3665419130841635,,True,`ftol` termination condition is satisfied.,0.0023081302642822266,0.6339694924283047,,8.08199707518204,
NGC2915,src/sidmkit/sparc_data/Rotmod_LTG/NGC2915_rotmod.dat,4.06,nfw,30,3,24.501952470187387,27,0.9074797211180514,30.501952470187387,34.70554461517385,0.39429009326226033,,True,`ftol` termination condition is satisfied.,0.0015630722045898438,,0.713456524068623,,7.330880323826795
NGC2915,src/sidmkit/sparc_data/Rotmod_LTG/NGC2915_rotmod.dat,4.06,burkert,30,3,14.003742845694589,27,0.5186571424331329,20.00374284569459,24.207334990681055,0.4081624131933098,,True,`ftol` termination condition is satisfied.,0.0013668537139892578,0.311701228596989,,8.124628123594178,
NGC2955,src/sidmkit/sparc_data/Rotmod_LTG/NGC2955_rotmod.dat,97.9,nfw,24,4,68.89086578623821,20,3.4445432893119103,76.89086578623821,81.60308110762999,0.19100011512575782,0.6799712042012029,True,`ftol` termination condition is satisfied.,0.0016300678253173828,,1.2457773109455204,,7.096473466461765
NGC2955,src/sidmkit/sparc_data/Rotmod_LTG/NGC2955_rotmod.dat,97.9,burkert,24,4,65.67190914334071,20,3.283595457167036,73.67190914334071,78.3841244647325,0.2570189359768695,0.8220686224435747,True,`ftol` termination condition is satisfied.,0.0031723976135253906,1.0230052224549153,,7.510101745707667,
NGC2974,src/sidmkit/sparc_data/Rotmod_ETG/NGC2974_rotmod.dat,22.1,nfw,2,4,2.1157042618099032e-26,-2,,8.0,2.772588722239781,0.5,0.7000000000000005,True,`gtol` termination condition is satisfied.,0.002308368682861328,,0.3216729461032945,,9.174218271364545
NGC2974,src/sidmkit/sparc_data/Rotmod_ETG/NGC2974_rotmod.dat,22.1,burkert,2,4,2.2473174724242335e-20,-2,,8.0,2.772588722239781,0.4999999999997593,0.7000000000155933,True,`gtol` termination condition is satisfied.,0.0027878284454345703,0.010133989800003762,,9.884545394949185,
NGC2976,src/sidmkit/sparc_data/Rotmod_LTG/NGC2976_rotmod.dat,3.58,nfw,27,3,26.513269503615334,24,1.104719562650639,32.513269503615334,36.40078010162832,0.7721699342742642,,True,`ftol` termination condition is satisfied.,0.0023012161254882812,,2.499999998824165,,4.685779745934553
NGC2976,src/sidmkit/sparc_data/Rotmod_LTG/NGC2976_rotmod.dat,3.58,burkert,27,3,7.557377947584586,24,0.3148907478160244,13.557377947584586,17.44488854559757,0.48638273681439187,,True,`ftol` termination condition is satisfied.,0.0009691715240478516,0.5282464700187635,,7.931501842312026,
NGC2998,src/sidmkit/sparc_data/Rotmod_LTG/NGC2998_rotmod.dat,68.1,nfw,13,3,23.764702919555447,10,2.3764702919555445,29.764702919555447,31.459550991940056,0.34488011609148256,,True,`ftol` termination condition is satisfied.,0.002266407012939453,,1.0490291472126483,,7.356265679463323
